# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE466L01038,360ONE.NS
INE994E01018,3BBLACKBIO.NS
INE470A01017,3MINDIA.NS
INE266B01017,500240.BO
INE567L01025,501261.BO
INE758D01027,501945.BO
INE064H01021,504028.BO
INE783E01023,504176.BO
INE713N01013,504346.BO
INE459E01012,504375.BO
INE312B01027,504398.BO
INE361D01012,504605.BO
INE984B01023,505358.BO
INE809Q01020,505504.BO
INE498D01012,505703.BO
INE070K01014,506166.BO
INE795B01031,506373.BO
INE881E01017,506528.BO
INE639B01023,506854.BO
INE574A01016,507155.BO
INE433O01024,508929.BO
INE520G01024,511144.BO
INE919M01026,511634.BO
INE754D01018,512014.BO
INE767M01029,512025.BO
INE896J01014,512062.BO
INE738D01029,512065.BO
INE091E01039,512233.BO
INE363L01045,513307.BO
INE072A01029,513361.BO
INE439N01031,514440.BO
INE219W01012,515008.BO
INE737E01011,516038.BO
INE443P01038,517172.BO
INE335Q01026,517286.BO
INE834C01028,517336.BO
INE437D01010,517449.BO
INE455D01012,519031.BO
INE052V01019,519477.BO
INE893C01032,521238.BO
INE133D01023,522134.BO
INE599F01020,523160.BO
INE833A01016,523411.BO
INE249D01019,524480.BO
INE150C01029,524717.BO
INE491D01017,524723.BO
INE395F01023,526071.BO
INE867C01010,526433.BO
INE670C01026,526530.BO
INE519N01014,526570.BO
INE760B01019,526775.BO
INE337E01010,530477.BO
INE834D01018,530627.BO
INE535P01015,530929.BO
INE265C01025,531647.BO
INE882B01037,531889.BO
INE312M01024,531910.BO
INE310B01013,532329.BO
INE690J01011,533315.BO
INE672K01025,533407.BO
INE958L01034,534535.BO
INE175N01023,534733.BO
INE474O01010,535667.BO
INE140B01048,537254.BO
INE392H01026,537392.BO
INE673E01018,538563.BO
INE229R01011,538716.BO
INE480D01010,538772.BO
INE002E01010,538992.BO
INE622Q01027,539682.BO
INE039D01014,539724.BO
INE631E01024,539895.BO
INE799B01025,539984.BO
INE931X01010,540652.BO
INE777X01017,540718.BO
INE868X01014,540980.BO
INE05KD23015,542543.BO
INE374E01021,542669.BO
INE317W01030,542866.BO
INE0BWS23018,543225.BO
INE0HLJ01013,543373.BO
INE0H8H01019,543378.BO
INE0L1C01019,543542.BO
INE0IZQ01016,543543.BO
INE0N0J01014,543619.BO
INE0NT601018,543709.BO
INE0OLH01013,543787.BO
INE00TV01023,543828.BO
INE0OMI01019,543831.BO
INE0O8901016,543895.BO
INE0GYI01028,543916.BO
INE0NJ001013,543920.BO
INE0M5S23019,543925.BO
INE0OJ401014,543926.BO
INE0ORA01015,543928.BO
INE0Q0M01015,543931.BO
INE0OWC01011,543953.BO
INE0Q8P01029,543971.BO
INE0Q1S01010,544001.BO
INE0QSW23016,544005.BO
INE0N6U01018,544023.BO
INE0P9J01013,544037.BO
INE0Q1R01012,544091.BO
INE0QVH01025,544150.BO
INE0TT901016,544186.BO
INE0OXY01013,544224.BO
INE0U6201010,544267.BO
INE0VN801010,544291.BO
INE00GK01023,544310.BO
INE0WDX01010,544347.BO
INE13VU01016,544369.BO
INE1ABX01018,544406.BO
INE0UZO01024,544434.BO
INE0TL001013,544440.BO
INE0FMZ01045,544458.BO
INE301O01023,544467.BO
INE0ZOM01013,544504.BO
INE0XBS01012,544516.BO
INE0TJ801010,544518.BO
INE1KLZ01011,544541.BO
INE1B3501014,544563.BO
INE13YH01017,544584.BO
INE1E4401010,544626.BO
INE1IJQ01026,544670.BO
INE0WKY01013,544681.BO
INE1OOT01028,544684.BO
INE1RQS01010,544773.BO
INE155D01018,544786.BO
INE2L0V01019,544793.BO
INE1SRC01010,544826.BO
INE288301026,544844.BO
INE618L01018,5PAISA.NS
INE111B01023,63MOONS.NS
INE883F01010,AADHARHFC.NS
INE767A01016,AARTIDRUGS.NS
INE769A01020,AARTIIND.NS
